cost,incumbents,operation_time
51,-0.3466651141643524,5.602836608886719e-05
61,-0.3466651141643524,4.935264587402344e-05
62,-0.3466651141643524,5.1021575927734375e-05
63,-0.3466651141643524,7.224082946777344e-05
73,-0.07472267746925354,6.699562072753906e-05
83,-0.07472267746925354,6.67572021484375e-05
84,-0.07472267746925354,7.510185241699219e-05
85,-0.07472267746925354,6.29425048828125e-05
95,-0.040252648293972015,4.887580871582031e-05
96,-0.040252648293972015,0.0001590251922607422
97,-0.040252648293972015,6.413459777832031e-05
98,-0.040252648293972015,5.602836608886719e-05
99,-0.040252648293972015,5.4836273193359375e-05
100,-0.040252648293972015,5.316734313964844e-05
101,-0.040252648293972015,5.1021575927734375e-05
102,-0.040252648293972015,4.982948303222656e-05
103,-0.040252648293972015,5.0067901611328125e-05
113,-0.040252648293972015,0.0001289844512939453
123,-0.040252648293972015,6.079673767089844e-05
133,-0.02381073869764805,5.125999450683594e-05
143,-0.023400025442242622,4.9114227294921875e-05
153,-0.023400025442242622,4.792213439941406e-05
163,-0.003814174560829997,4.8160552978515625e-05
173,-0.003814174560829997,4.8160552978515625e-05
183,-0.003814174560829997,4.8160552978515625e-05
184,-0.003814174560829997,0.00010800361633300781
194,-0.003814174560829997,0.00011920928955078125
204,-0.003814174560829997,5.888938903808594e-05
214,-0.003814174560829997,5.1021575927734375e-05
224,-0.003814174560829997,4.9114227294921875e-05
234,-0.003814174560829997,4.792213439941406e-05
244,-0.003814174560829997,5.888938903808594e-05
254,-0.003814174560829997,4.696846008300781e-05
264,-0.003814174560829997,8.130073547363281e-05
274,-0.0009362164419144392,0.00011491775512695312
275,-0.0009362164419144392,6.008148193359375e-05
285,-0.0009362164419144392,5.412101745605469e-05
295,-0.0009362164419144392,5.1021575927734375e-05
305,-2.3549189791083336e-05,4.887580871582031e-05
