cost,SR,IR,rmse,r2,max_value,operation_time
60,0.19086554713828008,0.5431048414077764,1.0191227565838377,-4.047910330176334,1.9827177219809826,0.8831751346588135
70,0.19251948150155584,0.24953823259934627,0.36226972155100123,0.3621439680831543,1.9810637876177069,0.8913459777832031
80,0.19076419808367717,0.25129776408741655,0.33611860032558116,0.4509097926699591,1.9828190710355855,0.8858027458190918
90,0.1901628287199557,0.3630077436797383,0.4096479682875081,0.18439430732747475,1.983420440399307,0.8853981494903564
100,0.18940282866639535,0.4152114342234623,0.45716473541694,-0.01579026406751627,1.9841804404528673,0.8890230655670166
110,0.19000301699667688,0.4009014422071633,0.49006384753296867,-0.1672501633164909,1.9835802521225858,0.8911092281341553
120,0.19012967893319654,0.38495612817647684,0.44751953090280683,0.02661952811014323,1.9834535901860662,0.89383864402771
130,0.18926780377329777,0.3403866860051661,0.44604779886713936,0.033011310118449266,1.984315465345965,0.8956983089447021
140,0.1917751757176731,0.3281289500170459,0.42754128956545495,0.11158727518343647,1.9818080934015896,0.9053823947906494
150,0.19127437161329652,0.3206890720914033,0.4203607815829282,0.14117826868722116,1.9823088975059662,0.9020755290985107
