cost,SR,IR,rmse,r2,max_value,operation_time
60,1.0987981538797555,1.8149504747713068,0.5140842001316482,-0.28447935252846723,1.0747851152395071,0.44316887855529785
70,1.0989978010198627,1.529265735091601,0.43576246773166033,0.07709236542402753,1.0745854680994,0.4421055316925049
80,1.097818681156781,1.3122551288967121,0.3512463886783528,0.40037135139637414,1.0757645879624818,0.4450109004974365
90,0.7900281792130841,1.0164706368509633,0.2859252372142237,0.6026588329442233,1.3835550899061786,0.439223051071167
100,0.7874809459640233,0.7993355621088529,0.29413680082913857,0.5795083725002534,1.3861023231552394,0.43886470794677734
110,0.7910319241086541,0.6857333299943322,0.2615567134848417,0.6675010032628668,1.3825513450106086,0.4433135986328125
120,0.7890166079482583,0.75157420263643,0.28788488872393914,0.5971936031979295,1.3845666611710044,0.4406297206878662
130,0.7884992062422385,0.7229668935714799,0.2568062430445557,0.6794691877997134,1.3850840628770242,0.441941499710083
140,0.7896711516982464,0.7499948311771476,0.2721911414377527,0.6399136931215006,1.3839121174210163,0.4871196746826172
150,0.7890198466516154,0.7683632527412183,0.2696866317330946,0.6465097583236239,1.3845634224676473,0.44199681282043457
