cost,SR,IR,rmse,r2,max_value,operation_time
60,43.93327461039409,39.222066293361834,12.610966935669316,-0.262593680886797,4.538569109088329,0.5522732734680176
70,43.93327461039409,39.62232571748912,13.319148530929072,-0.4083797156869282,4.538569109088329,0.5525462627410889
80,43.93327461039409,34.554914362066796,11.474110768406872,-0.04521326702724093,4.538569109088329,0.5949130058288574
90,43.93327461039409,33.06119625545547,11.520978993705349,-0.05376945772616204,4.538569109088329,0.5494198799133301
100,43.93327461039409,37.6014267779889,12.199104782093558,-0.1814701690377707,4.538569109088329,0.5538995265960693
110,39.802966087508324,36.51584847946516,12.288633649913406,-0.19887535258279665,8.668877631974102,0.5204319953918457
120,39.802966087508324,37.09848933718526,12.723441140844962,-0.2852156566042132,8.668877631974102,0.625859260559082
121,39.802966087508324,32.337479333971366,13.04601369757698,-0.3512089017477811,8.668877631974102,0.5477902889251709
131,39.802966087508324,36.7816842388743,11.679978481744405,-0.08305602507179666,8.668877631974102,0.5247061252593994
141,39.802966087508324,37.35863109771855,11.887563009335905,-0.12189574573077677,8.668877631974102,0.5226633548736572
151,39.802966087508324,38.32999617987899,11.99442264741539,-0.14215628354458043,8.668877631974102,0.5153748989105225
