cost,SR,IR,rmse,max_value,operation_time
51,35.46614376644025,25.471976010232847,17.53893024694733,12.917485078774595,0.461714506149292
61,35.46614376644025,31.741735912172402,15.198929314801891,12.917485078774595,0.4765291213989258
71,35.46614376644025,30.887950019056643,13.892969303424918,12.917485078774595,0.45865416526794434
81,35.46614376644025,30.95351619249686,13.894381772454905,12.917485078774595,0.46125125885009766
91,35.46614376644025,30.970941421022715,13.886600743854718,12.917485078774595,0.4880530834197998
101,35.46614376644025,30.953133276727915,13.894186867676844,12.917485078774595,0.47633862495422363
111,35.46614376644025,30.966774950539488,13.888423172701252,12.917485078774595,0.4524359703063965
121,35.46614376644025,30.950842167378752,13.895183911594422,12.917485078774595,0.4515509605407715
131,35.46614376644025,30.95865492286816,13.891868524059996,12.917485078774595,0.465404748916626
141,35.46614376644025,30.979443913947915,13.883060888480971,12.917485078774595,0.4584035873413086
151,34.94269610717151,30.979419474042487,13.883071226858215,13.440932738043337,0.45029783248901367
