cost,SR,IR,rmse,r2,max_value,operation_time
60,0.040990296200873716,0.017403317456087013,0.48194614412341347,-0.7742385213651704,-0.0076090836981557415,2.3874499797821045
61,0.040990296200873716,0.00710180300463055,0.4909668417008026,-0.8412777652688859,-0.0076090836981557415,2.3897786140441895
62,0.040990296200873716,0.015588999054969011,0.4862442521728354,-0.8060257805920292,-0.0076090836981557415,2.3838112354278564
63,0.040990296200873716,0.004502666185919751,0.4951425427253342,-0.8727313010041522,-0.0076090836981557415,2.4118385314941406
64,0.033561318246408414,-0.2690921539420764,0.5224649521763561,-1.085111623801605,-0.00018010574369044116,2.372213125228882
65,0.033561318246408414,-0.9163762802488581,0.7481059030708628,-3.275049497910456,-0.00018010574369044116,2.425487756729126
75,0.033561318246408414,-1.0659205827484846,0.850311699366924,-4.522952311689598,-0.00018010574369044116,2.4017698764801025
85,0.033561318246408414,-1.0673435133932936,0.8509309594561664,-4.5309996885404535,-0.00018010574369044116,2.3941268920898438
95,0.033561318246408414,-1.1028565293159565,0.8744481546528262,-4.840944981089031,-0.00018010574369044116,2.388862371444702
96,0.033561318246408414,-0.9442622424827911,0.7764667920922258,-3.605330019685624,-0.00018010574369044116,2.415341377258301
97,0.033561318246408414,-0.9597686208422453,0.7840168749045294,-3.6953265832893534,-0.00018010574369044116,2.415205478668213
98,0.033561318246408414,-0.9454204917501093,0.7904794712327262,-3.77305210948553,-0.00018010574369044116,2.3807778358459473
99,0.033561318246408414,-0.9544584040040509,0.7952886553042988,-3.8313061520301543,-0.00018010574369044116,2.381891965866089
100,0.033561318246408414,-0.9545607290245994,0.7661876129064632,-3.4842027119045813,-0.00018010574369044116,2.394460916519165
101,0.033561318246408414,-0.9293591104296663,0.7728893147881911,-3.562990773674252,-0.00018010574369044116,2.3945703506469727
102,0.033561318246408414,-0.8827862108239007,0.7558053179867824,-3.3634989013351406,-0.00018010574369044116,2.3960940837860107
103,0.033561318246408414,-0.8872069998091774,0.7672037116166003,-3.4961042717870194,-0.00018010574369044116,2.5066213607788086
104,0.033561318246408414,-0.877973163492662,0.7643387982996018,-3.4625880136923586,-0.00018010574369044116,2.449241876602173
105,0.033561318246408414,-0.9524179861715446,0.8044933440497389,-3.9437886357866834,-0.00018010574369044116,2.465939521789551
115,0.033561318246408414,-0.8910753263871458,0.7732689337278176,-3.5674742697878985,-0.00018010574369044116,2.4268758296966553
116,0.033561318246408414,-0.9009040187684778,0.7791637446326456,-3.6373775633493963,-0.00018010574369044116,2.401766061782837
126,0.033561318246408414,-0.9141911086680256,0.7856206901857214,-3.71455611531103,-0.00018010574369044116,2.427889823913574
127,0.033561318246408414,-0.9417474324343768,0.8002797514770524,-3.8921373474361607,-0.00018010574369044116,2.404945135116577
137,0.033561318246408414,-0.940918921462222,0.7999425673008295,-3.888015779213756,-0.00018010574369044116,2.4331085681915283
138,0.033561318246408414,-0.8849613187622771,0.7720772126894268,-3.5534068203108715,-0.00018010574369044116,2.41277813911438
139,0.033561318246408414,-0.8901838939386849,0.7756820733894139,-3.596026176975978,-0.00018010574369044116,2.452932357788086
140,0.033561318246408414,-0.8894194161577047,0.7759627421751989,-3.599352783345288,-0.00018010574369044116,2.4170594215393066
141,0.033561318246408414,-0.9011688579283355,0.7770313764118648,-3.61202970712446,-0.00018010574369044116,2.435274362564087
142,0.033561318246408414,-0.89527288198122,0.7753822020436338,-3.592473303448365,-0.00018010574369044116,2.4211838245391846
143,0.025130413417185096,-0.8960472910068136,0.7787026271088134,-3.6318902872363,0.008250799085532876,2.442784070968628
144,0.025130413417185096,-0.8879158364749916,0.7583024073666875,-3.392379477103816,0.008250799085532876,2.415010452270508
145,0.025130413417185096,-0.9106889552170482,0.7746033368718583,-3.5832517324436663,0.008250799085532876,2.454695463180542
146,0.025130413417185096,-0.904611040616923,0.7771758179455254,-3.613744517056462,0.008250799085532876,2.4659018516540527
147,0.025130413417185096,-0.9072154223626838,0.7830128881980629,-3.683308915568947,0.008250799085532876,2.4393038749694824
148,0.025130413417185096,-0.9074292729821968,0.7826769056449279,-3.6792906611519074,0.008250799085532876,2.4279894828796387
158,0.025130413417185096,-0.9038802867365545,0.7814611960779907,-3.664765534966782,0.008250799085532876,2.4467616081237793
