cost,SR,IR,rmse,max_value,operation_time
60,0.04982806505417836,0.06902642209758175,0.47525607646194334,-0.016536002473592885,0.504387617111206
70,0.03662754323054762,0.02931820285276293,0.5024800018068201,-0.0033354806499621445,0.5219132900238037
80,0.0038172164172970667,-0.06406858464110803,0.570741629857356,0.029474846163288413,0.5006208419799805
90,0.0038172164172970667,-0.18219045994531094,0.6666683976796061,0.029474846163288413,0.5139796733856201
100,0.0038172164172970667,-0.26469939777014406,0.7374444052915169,0.029474846163288413,0.5075235366821289
110,0.0038172164172970667,-0.32622572428236496,0.7917650869762984,0.029474846163288413,0.5033602714538574
120,0.0038172164172970667,-0.29477993716485973,0.7639864444923489,0.029474846163288413,0.5084869861602783
130,0.0038172164172970667,-0.345881078694639,0.8094019174766857,0.029474846163288413,0.4979410171508789
140,0.0038172164172970667,-0.16693656613268903,0.6542215492514144,0.029474846163288413,0.5202069282531738
150,0.0038172164172970667,-0.1254128897904834,0.6200438297024233,0.029474846163288413,0.5046257972717285
