cost,SR,IR,rmse,max_value,operation_time
60,0.040990296200873716,0.2298172116869881,0.689853092698634,-0.0076090836981557415,0.21102595329284668
70,0.040990296200873716,0.0798956077729795,0.6858636771651251,-0.0076090836981557415,0.20951533317565918
80,0.040990296200873716,0.04427536859946385,0.6900466757610554,-0.0076090836981557415,0.20184612274169922
90,-0.017545370581804574,0.048133702013700694,0.6897353150385541,0.050926583084522546,0.20927858352661133
100,-0.017545370581804574,0.0440452825047365,0.6903415137249803,0.050926583084522546,0.21424531936645508
110,-0.017545370581804574,0.04168111624902664,0.690680588800135,0.050926583084522546,0.21198248863220215
120,-0.017545370581804574,0.04155933201057861,0.6906986328042015,0.050926583084522546,0.20902419090270996
130,-0.017545370581804574,0.04358521774260201,0.6904117437698198,0.050926583084522546,0.21771693229675293
140,-0.017545370581804574,0.05794734153421277,0.6885447180546401,0.050926583084522546,0.21146178245544434
150,-0.017545370581804574,0.06475448502517311,0.6877628890065249,0.050926583084522546,0.21210503578186035
