cost,SR,IR,rmse,r2,max_value,operation_time
30.0,1.7313025872834498,1.3341280860821882,2.0128358051341,0.2859866873511452,12.067455919491453,0.0
31.0,1.7313025872834498,1.349354477576215,2.0121981170694907,0.28643902990338,12.067455919491453,1.070150375366211
32.0,1.7313025872834498,4.609178034416061,3.7872560927175845,-1.5277781562324364,12.067455919491453,1.0681953430175781
34.0,1.7313025872834498,2.5026152378412707,4.043917286281606,-1.8820010767654205,12.067455919491453,1.1584665775299072
37.0,1.7313025872834498,3.7972914438468823,3.720950544889656,-1.4400425876531053,12.067455919491453,1.234415054321289
38.0,1.7313025872834498,4.924855418026407,3.8497019741146645,-1.611823530702912,12.067455919491453,1.2153041362762451
39.0,1.7313025872834498,3.865548962142366,2.9388065113873605,-0.5220593859267855,12.067455919491453,1.2413229942321777
40.0,1.7313025872834498,3.0891345526005054,3.0782360556167245,-0.6699114876205221,12.067455919491453,1.2433278560638428
41.0,0.7941662018202038,3.9284448822176117,3.8071488896728694,-1.5544025184636854,13.004592304954699,1.2530810832977295
43.0,0.7941662018202038,3.04215557075233,3.5820418375835343,-1.2612621779828785,13.004592304954699,1.2400448322296143
45.0,0.7941662018202038,3.6006022218779865,3.5201033329215208,-1.1837375176320566,13.004592304954699,1.2400412559509277
47.0,0.7941662018202038,3.14760821452605,3.356913551238322,-0.9859573854811621,13.004592304954699,1.2453842163085938
49.0,0.7941662018202038,2.9849617614365958,3.756653488256946,-1.4870922049992972,13.004592304954699,1.2579751014709473
50.0,0.7941662018202038,3.6404397758720286,3.9750791866609925,-1.7847177293839493,13.004592304954699,1.323976755142212
51.0,0.7941662018202038,3.303296385339218,4.375264377734895,-2.373635919215933,13.004592304954699,1.2739002704620361
52.0,0.7941662018202038,2.749697171488142,3.9367949762239443,-1.7313364870640942,13.004592304954699,1.2990283966064453
53.0,0.7941662018202038,3.0458329532495547,3.7128497905627675,-1.429429885781452,13.004592304954699,1.3024282455444336
54.0,0.7941662018202038,2.9027414004896226,3.535975228396624,-1.203474548166307,13.004592304954699,1.298579454421997
57.0,0.7941662018202038,3.5080923227312777,3.7856307663532207,-1.525608995873338,13.004592304954699,1.2997500896453857
58.0,0.7941662018202038,3.5999288026462857,3.803417258204312,-1.5493975041652068,13.004592304954699,1.3198657035827637
59.0,0.7941662018202038,3.7053719263574667,3.991409092138426,-1.8076443583768302,13.004592304954699,1.305236577987671
60.0,0.7941662018202038,3.596886053551243,3.662694942585588,-1.364237536673909,13.004592304954699,1.290532112121582
61.0,0.7941662018202038,3.3021683919201905,3.4118413631120044,-1.0514799215594621,13.004592304954699,1.3084964752197266
62.0,0.7941662018202038,3.1272726334285146,3.1668919996071163,-0.7674865453929585,13.004592304954699,1.306291103363037
63.0,0.7941662018202038,3.0188913423838084,3.7448312532822823,-1.4714630165426952,13.004592304954699,1.3363521099090576
64.0,0.7941662018202038,3.956240093021611,3.4586287611944546,-1.1081305797799517,13.004592304954699,1.3432159423828125
65.0,0.7941662018202038,3.0968621158709944,3.3745948139056465,-1.0069330281743234,13.004592304954699,1.3303539752960205
66.0,0.7941662018202038,3.4470700267398726,3.4423915734818022,-1.088383006719599,13.004592304954699,1.3421714305877686
69.0,0.7941662018202038,3.44815334469663,3.196614296767764,-0.8008190893706575,13.004592304954699,1.32794189453125
73.0,0.7941662018202038,3.2823710853425982,3.215961771452398,-0.8226839356151427,13.004592304954699,1.3444488048553467
75.0,0.7314340073454684,2.8717214540257174,3.3284116882984067,-0.9523770215562972,13.067324499429434,1.3656044006347656
77.0,0.7314340073454684,2.953290097398268,3.3218275132374164,-0.944660381432108,13.067324499429434,1.3826074600219727
79.0,0.7314340073454684,2.907847534694241,3.8150346180917345,-1.564995319796648,13.067324499429434,1.3844916820526123
81.0,0.7314340073454684,2.825911419914192,4.02332624193318,-1.8527263296623584,13.067324499429434,1.3855783939361572
83.0,0.7314340073454684,2.727343150522655,3.7368295790445214,-1.4609126270346824,13.067324499429434,1.3889756202697754
84.0,0.7314340073454684,2.5579812672329147,3.7384906160084257,-1.4631008859556647,13.067324499429434,1.4039881229400635
88.0,0.7314340073454684,2.4258031778864453,3.7472541551476266,-1.474662119038352,13.067324499429434,1.4106450080871582
91.0,0.7314340073454684,2.699360653526938,3.803322883453106,-1.5492709885852207,13.067324499429434,1.3988075256347656
94.0,0.7314340073454684,2.439017814312473,3.751767163397452,-1.4806264306613262,13.067324499429434,1.41377592086792
96.0,0.7314340073454684,3.1624659591615885,3.728264717883385,-1.4496446686071085,13.067324499429434,1.4006586074829102
97.0,0.7314340073454684,2.6695628570882945,3.6941823647876233,-1.4050619762346712,13.067324499429434,1.5029563903808594
99.0,0.7314340073454684,2.3941651770090058,3.8064756072272385,-1.5534991220634344,13.067324499429434,1.4353868961334229
101.0,0.7314340073454684,2.6402808549706958,3.7240614179183065,-1.444124252078157,13.067324499429434,1.4402351379394531
102.0,0.7314340073454684,2.7922598451495677,3.46382965937685,-1.1144755314483428,13.067324499429434,1.4096148014068604
103.0,0.006490207396018022,2.7218998375523586,3.6920060475111955,-1.402229069987385,13.792268299378884,1.4540867805480957
105.0,0.006490207396018022,2.9270748549008463,3.647786217934491,-1.345029805589245,13.792268299378884,1.4565343856811523
106.0,0.006490207396018022,2.9857783271414373,3.624517386349403,-1.3152078452339824,13.792268299378884,1.4556069374084473
109.0,0.006490207396018022,2.9942979604519735,3.685663643676902,-1.393982702035185,13.792268299378884,1.4543230533599854
111.0,0.006490207396018022,3.787845751513734,3.781117427968994,-1.519590377755482,13.792268299378884,1.4637055397033691
112.0,0.006490207396018022,2.785512261583989,3.477616418562269,-1.1313411298512412,13.792268299378884,1.4598357677459717
116.0,0.006490207396018022,3.265890959663283,3.7292598596339825,-1.4509525526804987,13.792268299378884,1.5007071495056152
117.0,0.006490207396018022,3.2372451202396384,3.4608884365883914,-1.1108861498584295,13.792268299378884,1.4724242687225342
118.0,0.006490207396018022,3.4716177114263704,3.393482463773537,-1.0294615575631592,13.792268299378884,1.4807066917419434
119.0,0.006490207396018022,4.308964785805326,3.791898898296148,-1.5339795726780312,13.792268299378884,1.4769999980926514
120.0,0.006490207396018022,3.5854915040534436,3.7176853092605375,-1.4357620587237436,13.792268299378884,1.4995090961456299
122.0,0.006490207396018022,3.47729834817801,3.5020641527109824,-1.1614132309230905,13.792268299378884,1.4932773113250732
126.0,0.006490207396018022,3.4437709339475884,3.6476332385069052,-1.3448331198332704,13.792268299378884,1.5028719902038574
130.0,0.006490207396018022,3.3256012610794823,3.8090722318374337,-1.5569840991760384,13.792268299378884,1.4855897426605225
133.0,0.006490207396018022,3.313293625229175,3.871810790569501,-1.6419090490689503,13.792268299378884,1.4969336986541748
135.0,0.006490207396018022,3.3267962274424914,3.340188414616244,-0.9662174287649441,13.792268299378884,1.557732343673706
136.0,0.006490207396018022,2.9137377734521444,3.2045861520950734,-0.8098122105678149,13.792268299378884,1.5057601928710938
139.0,0.006490207396018022,2.8833022393058343,3.140500924581323,-0.7381508370899525,13.792268299378884,1.5110297203063965
140.0,0.006490207396018022,3.0096599703343507,3.3602204740384445,-0.9898720782256645,13.792268299378884,1.5631415843963623
142.0,0.006490207396018022,3.157421862790576,3.2693811015781007,-0.8837389011075811,13.792268299378884,1.5370991230010986
143.0,0.006490207396018022,3.1158471846823215,3.1724985274470034,-0.7737502475749731,13.792268299378884,1.5782277584075928
147.0,0.006490207396018022,3.5036333702124356,3.5476550137694915,-1.2180553147093272,13.792268299378884,1.5722815990447998
151.0,0.006490207396018022,3.1861870261765333,3.167945643527711,-0.7686628477442461,13.792268299378884,1.5699806213378906
152.0,0.006490207396018022,2.844969493038686,3.100826602756607,-0.6945117058342725,13.792268299378884,1.5758349895477295
154.0,0.006490207396018022,2.8319747747636246,3.0910993540207627,-0.6838970629741012,13.792268299378884,1.5863924026489258
