cost,SR,IR,rmse,r2,max_value,operation_time
50.0,8.525285855474309,-2.8725884212626056,23.16164941766182,-1.2226583442970114,63.626836642084285,0.0
51.0,8.525285855474309,12.344356368836728,35.96409340135941,-4.3588546374029535,63.626836642084285,1.013195276260376
52.0,8.525285855474309,-903.3529957600718,249.9746172393275,-257.89613500710794,63.626836642084285,1.0421292781829834
53.0,8.525285855474309,-110.10866908548445,88.88391272290956,-31.732567444562065,63.626836642084285,1.0336806774139404
54.0,7.458425096328909,-147.5492283065418,161.91433604364323,-107.61863717865843,64.69369740122968,1.139389991760254
56.0,7.458425096328909,-3961.1979766438253,1857.788200998253,-14298.674225338664,64.69369740122968,1.1404831409454346
58.0,7.458425096328909,-4598.258322452556,3066.3429764078537,-38955.075846324005,64.69369740122968,1.1338655948638916
59.0,7.458425096328909,-24567.430113235998,10316.65541037031,-440971.58701371343,64.69369740122968,1.1467759609222412
65.0,7.458425096328909,-190.94349678020762,146.02560667515576,-87.34699483163496,64.69369740122968,1.1584022045135498
67.0,7.458425096328909,-94.22563838612786,570.1312946688419,-1345.7392057017555,64.69369740122968,1.1494331359863281
68.0,7.458425096328909,-262.2568695866815,99.90954418976148,-40.35687337050952,64.69369740122968,1.1821389198303223
69.0,7.458425096328909,-17428.109409646608,8056.804045495833,-268941.442613836,64.69369740122968,1.149872064590454
70.0,7.458425096328909,-2048.1607450697484,637.1103297903503,-1680.7561945831476,64.69369740122968,1.1596686840057373
77.0,7.458425096328909,-2681.2105736983913,1078.587376877735,-4818.970824292633,64.69369740122968,1.1799073219299316
80.0,7.458425096328909,-42.04541956931685,27.88016662672458,-2.220508671789415,64.69369740122968,1.234114170074463
81.0,7.458425096328909,-35936.08464839747,10411.446458336912,-449112.2654837105,64.69369740122968,1.226543664932251
82.0,6.320072957636384,-118.79144492115981,106.67900653993107,-46.1510825393242,65.83204953992221,1.2266778945922852
84.0,6.320072957636384,-78.80061787050116,67.50213841938368,-17.87855742317819,65.83204953992221,1.2206835746765137
88.0,6.320072957636384,39.11432612757232,632.8633975932862,-1658.409988124903,65.83204953992221,1.2412841320037842
89.0,6.320072957636384,-25658.416906857114,12800.29881551366,-678849.2138145899,65.83204953992221,1.221836805343628
91.0,6.320072957636384,-74.68997355993807,118.90385387722753,-57.57679489846091,65.83204953992221,1.2225933074951172
92.0,6.320072957636384,78.03089045056204,36.5632614311813,-4.538900942715392,65.83204953992221,1.2477729320526123
93.0,6.320072957636384,-97400.06430296315,36387.08839702071,-5485652.279203675,65.83204953992221,1.210637092590332
99.0,6.320072957636384,-85.90416654797383,87.92737100176356,-31.03184240386821,65.83204953992221,1.2202746868133545
100.0,6.320072957636384,-342.4529505759694,301.5970686642361,-375.8668825486916,65.83204953992221,1.2169780731201172
104.0,6.320072957636384,-28.05306553522577,2030.3095004072516,-17077.834753263065,65.83204953992221,1.233396053314209
105.0,6.320072957636384,-254.02106058114043,156.39401597124458,-100.33839148385447,65.83204953992221,1.2287776470184326
106.0,6.320072957636384,-830.0779557059517,332.52769879577335,-457.1307012679327,65.83204953992221,1.2410292625427246
107.0,6.320072957636384,-58764.55708320523,13769.891765655562,-785586.9190179167,65.83204953992221,1.2608282566070557
113.0,6.320072957636384,-1811.5237903714697,864.1423265879685,-3092.8859381921643,65.83204953992221,1.2342557907104492
119.0,6.320072957636384,-54.92155023059297,55.21358771902977,-11.630649363918401,65.83204953992221,1.2390635013580322
122.0,6.320072957636384,-11339.618881817041,4215.347406446411,-73619.79251342344,65.83204953992221,1.2348270416259766
128.0,6.320072957636384,-438.45431217081443,249.39105877505438,-256.68877495204276,65.83204953992221,1.2384321689605713
134.0,-2.948427419879465,-138.04899644906092,31.09171665902695,-3.0051902058096758,75.10054991743806,1.285395860671997
135.0,-3.296035485395862,-69599.7004267613,19320.180313770205,-1546520.9684363208,75.44815798295446,1.2658343315124512
