cost,SR,IR,rmse,r2,max_value,operation_time
50.0,174.1079096784216,500.89679332776126,123.09163073364766,-0.01749444612814366,435.15667772392214,0.0
51.0,124.69501464770804,94.41645356125116,128.0040310194792,-0.1003283165042248,484.5695727546357,1.9640552997589111
52.0,124.69501464770804,266.7358749526722,74.41553415769509,0.6281205296823539,484.5695727546357,1.9468858242034912
53.0,124.69501464770804,239.3351176909677,79.77374832619462,0.5726388944631893,484.5695727546357,1.9277138710021973
54.0,124.69501464770804,198.7549763764057,98.38954483514938,0.3499108770305771,484.5695727546357,1.9624664783477783
55.0,124.69501464770804,228.13905278915985,92.02325230658803,0.431317121525546,484.5695727546357,1.976180076599121
56.0,124.69501464770804,300.26183268386933,75.35692287121653,0.6186521440360593,484.5695727546357,2.0373804569244385
57.0,-48.74530513894615,222.4256136045292,87.01347318775781,0.4915502888902752,658.0098925412899,1.9888761043548584
58.0,-48.74530513894615,296.65306748533163,87.62540211403507,0.4843737192159928,658.0098925412899,2.0800845623016357
59.0,-48.74530513894615,348.31891549855976,150.9151348308909,-0.5294686828195703,658.0098925412899,2.0174126625061035
60.0,-48.74530513894615,307.2064428308048,157.563057146722,-0.6671849997240553,658.0098925412899,2.057082176208496
61.0,-48.74530513894615,292.79113806961124,187.896462367387,-1.370894360732425,658.0098925412899,2.046966791152954
62.0,-48.74530513894615,194.84770013220685,101.11916523889268,0.3133396852573387,658.0098925412899,2.0022778511047363
63.0,-48.74530513894615,292.23503945853196,175.6678300070924,-1.0723326520324852,658.0098925412899,2.131146192550659
64.0,-48.74530513894615,316.08015760789243,168.99996473101393,-0.9179983299866206,658.0098925412899,2.164109230041504
65.0,-48.74530513894615,-507.0117459094108,486.3269744651209,-14.882969945147243,658.0098925412899,2.0776848793029785
66.0,-48.74530513894615,-1109.9238651252294,626.3775985353799,-25.347986460224725,658.0098925412899,2.0977108478546143
71.0,-48.74530513894615,272.7347833011242,155.2570860492253,-0.6187428322396789,658.0098925412899,2.162506103515625
72.0,-48.74530513894615,-876.9644863341027,729.8248663872206,-34.769453890157024,658.0098925412899,2.1988048553466797
73.0,-48.74530513894615,-367.3166490147113,353.2563482303902,-7.38021087246759,658.0098925412899,2.131768226623535
74.0,-48.74530513894615,-652.3636687262658,502.56799032739855,-15.96151515126786,658.0098925412899,2.209192991256714
81.0,-48.74530513894615,381.69230661599704,102.2415896446978,0.2980111998975917,658.0098925412899,2.2774152755737305
87.0,-48.74530513894615,502.1557189833797,123.09989593917207,-0.01763109364857307,658.0098925412899,2.2311954498291016
88.0,-115.86512615859442,-3097.4653996112793,3017.9677806208256,-610.6517107048894,725.1297135609382,2.21096134185791
89.0,-115.86512615859442,-3135.9607269497355,3014.0197387814737,-609.0524576923979,725.1297135609382,2.2345499992370605
90.0,-115.86512615859442,-2250.405889745676,2270.4226996488233,-345.1692101439617,725.1297135609382,2.2347171306610107
91.0,-115.86512615859442,-948.1908291771379,1047.4948877651268,-72.6849547107687,725.1297135609382,2.2646827697753906
92.0,-115.86512615859442,-807.9426862343644,442.10763672073165,-12.125958601833906,725.1297135609382,2.3599298000335693
93.0,-115.86512615859442,-441.98979228065696,644.0731771426963,-26.85771062744719,725.1297135609382,2.286496639251709
94.0,-125.28984091714199,-1078.9265814865928,468.2629116141936,-13.724973407010452,734.5544283194857,2.290125608444214
95.0,-125.28984091714199,-1400.6587270766208,1610.1727572925822,-173.1084886780406,734.5544283194857,2.3509163856506348
96.0,-125.28984091714199,142.69918136757184,134.2372306971484,-0.21009917531983735,734.5544283194857,2.3440659046173096
97.0,-125.28984091714199,-1172.9399521444834,583.5114134126493,-21.86513169768994,734.5544283194857,2.2834701538085938
98.0,-125.28984091714199,160.7839005261128,195.47949768175752,-1.5661227413002137,734.5544283194857,2.6601860523223877
105.0,-125.28984091714199,264.9235218405037,80.76435050483121,0.5619593582906597,734.5544283194857,3.0012929439544678
106.0,-132.73242461056282,-7241.85413802483,6308.798121650101,-2671.811046779791,741.9970120129066,2.8718502521514893
107.0,-132.73242461056282,-9325.114670821245,7600.026448691776,-3877.8698174069377,741.9970120129066,2.995511293411255
108.0,-132.73242461056282,-13308.613000172376,11243.07591381487,-8487.780088524814,741.9970120129066,3.0348873138427734
109.0,-132.73242461056282,-898.4374604876205,781.1977640220655,-39.98236149996122,741.9970120129066,2.713379383087158
110.0,-132.73242461056282,-5885.468686377881,3403.5326025166314,-776.9198024700672,741.9970120129066,2.657457113265991
113.0,-132.73242461056282,452.0097058080278,484.7469356977702,-14.779932513292184,741.9970120129066,2.6548070907592773
114.0,-133.9771433777296,-6053.1713646527605,4747.555527023911,-1512.6138833224068,743.2417307800733,2.8044276237487793
115.0,-133.9771433777296,-2030.1678373526147,2289.207097403201,-350.9209847034636,743.2417307800733,2.659018039703369
116.0,-133.9771433777296,-11736.318115092445,10555.328570649082,-7481.0138922127235,743.2417307800733,2.6526262760162354
120.0,-133.9771433777296,-799.8609018753434,824.6383775871293,-44.666957848243364,743.2417307800733,2.7666754722595215
121.0,-133.9771433777296,-982.3147376880181,932.6595239886607,-57.41457961804673,743.2417307800733,2.7233874797821045
122.0,-133.9771433777296,-731.823995674253,812.5621595284202,-43.33923379947503,743.2417307800733,2.736304521560669
126.0,-133.9771433777296,3304.4635444055484,4444.847066846458,-1325.748613520631,743.2417307800733,2.8137028217315674
132.0,-133.9771433777296,304.93574741279986,306.37080536678275,-5.303325772198686,743.2417307800733,2.7195115089416504
138.0,-133.9771433777296,775.7402921544535,589.3226638618366,-22.322831964521928,743.2417307800733,2.9147696495056152
