cost,SR,IR,rmse,r2,max_value,operation_time
50.0,212.2386480014103,359.5026472957421,80.4264380252882,0.565617154012944,397.02593940093345,0.0
51.0,212.2386480014103,496.99151847571477,194.297837364923,-1.5351924343630863,397.02593940093345,1.2570724487304688
52.0,212.2386480014103,-60.007362545163005,1071.8813507558857,-76.1557729620148,397.02593940093345,1.3009381294250488
53.0,212.2386480014103,-38.66611598136626,369.04744124632833,-8.146172620828997,397.02593940093345,1.3932702541351318
54.0,212.2386480014103,34.9031970603578,259.87450591110814,-3.53526167508699,397.02593940093345,1.6187529563903809
55.0,212.2386480014103,369.86354026359436,2884.7727871470483,-557.8538174617802,397.02593940093345,1.3735809326171875
56.0,212.2386480014103,405.42887218462346,751.5704850559941,-36.93275883122082,397.02593940093345,1.3899807929992676
57.0,-26.47972821776534,-383.7524708384425,5675.102226346339,-2161.8299486431433,635.7443156201091,1.3854598999023438
60.0,-26.47972821776534,-406.1355546041898,324.5102141857336,-6.0718288075848355,635.7443156201091,1.3370611667633057
61.0,-26.47972821776534,494.24845280492946,140.0886486202262,-0.31789523702073863,635.7443156201091,1.2393646240234375
62.0,-126.27349510902229,-3719.9109127152424,1575.9479133955836,-165.78566304871515,735.538082511366,1.2737641334533691
63.0,-126.27349510902229,-497.5829126541885,6907.986326171301,-3203.6303041560027,735.538082511366,1.2465662956237793
64.0,-126.27349510902229,-12956.746760658649,2914.9574510159277,-569.6100761673282,735.538082511366,1.2351529598236084
65.0,-126.27349510902229,-39105.84900001449,14286.87651977848,-13706.226181656048,735.538082511366,1.283787727355957
66.0,-126.27349510902229,484.09590036724546,6067.954306543475,-2471.632653702605,735.538082511366,1.3156311511993408
67.0,-126.27349510902229,404.92359443827576,5157.503725216772,-1785.2987626508043,735.538082511366,1.2982120513916016
68.0,-126.27349510902229,-141010.0073050883,39481.63737605298,-104679.38408622601,735.538082511366,1.311293601989746
69.0,-126.27349510902229,-142231.76725105417,25416.311851390663,-43380.04982737268,735.538082511366,1.3242931365966797
