cost,SR,IR,rmse,r2,max_value,operation_time
50.0,83.07609083116077,86.94110588954925,24.309666701177616,0.7600945196476843,160.9865007215736,0.0
52.0,83.07609083116077,89.15566890035683,25.52922382886394,0.7354197745593369,160.9865007215736,1.2327847480773926
55.0,83.07609083116077,91.85133352603569,32.18965497211286,0.5793558984379852,160.9865007215736,1.2777674198150635
57.0,83.07609083116077,91.31478951721107,33.20015336139732,0.5525316322537428,160.9865007215736,1.2899765968322754
58.0,83.07609083116077,88.20703991241882,26.26212222102944,0.7200104668595166,160.9865007215736,1.334249496459961
64.0,62.335132516266555,80.87424245411955,25.264024134287713,0.7408881857606726,181.72745903646782,1.3005237579345703
68.0,62.335132516266555,65.8544703661999,25.825240976437886,0.7292484663437386,181.72745903646782,1.3314573764801025
70.0,62.335132516266555,65.65789511700677,22.996065579925258,0.7853211614256483,181.72745903646782,1.3042891025543213
72.0,62.335132516266555,71.68862551998055,20.48629973046724,0.8296236911857177,181.72745903646782,1.3640618324279785
78.0,62.335132516266555,68.10851674483942,15.209545912121191,0.9060893910981895,181.72745903646782,1.3389101028442383
85.0,62.335132516266555,73.0852418478211,16.703848805135497,0.8867299060508187,181.72745903646782,1.3278050422668457
90.0,62.335132516266555,64.95597383345864,16.84191850871692,0.8848496444244084,181.72745903646782,1.3409514427185059
93.0,62.335132516266555,68.71428596834753,15.371404963957074,0.9040799737972387,181.72745903646782,1.3326802253723145
97.0,62.335132516266555,70.86780354553795,13.377559277594086,0.9273499482145144,181.72745903646782,1.3786625862121582
100.0,62.335132516266555,69.31009097542776,13.162323507911408,0.9296689207663983,181.72745903646782,1.3681433200836182
101.0,62.15560347767348,66.01204502107646,18.85125472156103,0.8557344341410068,181.9069880750609,1.3659989833831787
102.0,62.15560347767348,57.63852736098207,20.973202321007623,0.8214287030911798,181.9069880750609,1.390608787536621
103.0,62.15560347767348,61.66743807395517,16.473789251353388,0.8898285230434472,181.9069880750609,1.3919143676757812
111.0,62.15560347767348,63.55849525172292,14.541104709864024,0.9141625191215902,181.9069880750609,1.4100978374481201
112.0,62.15560347767348,61.95040399030751,15.066752488534963,0.9078444558469374,181.9069880750609,1.3855650424957275
118.0,62.15560347767348,62.054190817546186,12.16165283381079,0.9399563114099075,181.9069880750609,1.389920949935913
122.0,62.15560347767348,60.6854121392887,16.106403896622577,0.8946876433799825,181.9069880750609,1.3866584300994873
124.0,-6.231038684341684,47.06562181425585,12.38839672241212,0.9376965107891658,250.29363023707606,1.4031109809875488
126.0,-6.231038684341684,54.98925867241189,10.714193988650905,0.953398363202519,250.29363023707606,1.4116566181182861
134.0,-6.231038684341684,50.49439805827663,10.424543833159413,0.9558839845972076,250.29363023707606,1.4070336818695068
140.0,-6.231038684341684,68.7597769611634,11.862932028618477,0.9428697342676935,250.29363023707606,1.4188525676727295
141.0,-6.231038684341684,68.54543487180936,13.29300376272128,0.9282654438592829,250.29363023707606,1.3921120166778564
143.0,-6.231038684341684,48.5739355176467,10.651841551232033,0.9539391916678535,250.29363023707606,1.4171876907348633
152.0,-6.231038684341684,68.89454675587552,11.072091396509075,0.9502329974348459,250.29363023707606,1.4171271324157715
153.0,-6.231038684341684,67.8079800424851,13.157331477718534,0.9297222591137706,250.29363023707606,1.4423866271972656
157.0,-6.231038684341684,65.09751151865109,9.905141709258828,0.9601706199595388,250.29363023707606,1.4352772235870361
158.0,-6.231038684341684,70.94658286975857,14.793155680072832,0.9111609684715478,250.29363023707606,1.4342279434204102
160.0,-6.231038684341684,64.17232194377857,10.796954407098733,0.9526756459300224,250.29363023707606,1.4548659324645996
164.0,-6.231038684341684,54.65552792299357,10.554237611574548,0.9547794443087895,250.29363023707606,1.4783892631530762
168.0,-6.231038684341684,60.36649570737515,8.353538752461548,0.9716715284229195,250.29363023707606,1.4984824657440186
170.0,-6.231038684341684,60.57088519125904,12.834983169306637,0.9331236184179308,250.29363023707606,1.5038323402404785
174.0,-6.231038684341684,65.555228634728,13.773588086812783,0.9229848187697116,250.29363023707606,1.4971139430999756
176.0,-6.231038684341684,75.76549735174339,15.059819861348933,0.9079292429366688,250.29363023707606,1.4908020496368408
184.0,-6.231038684341684,68.61073429434035,15.016556404130636,0.9084574800254044,250.29363023707606,1.4962248802185059
190.0,-6.231038684341684,60.32873226405226,11.67607985180018,0.9446552700170215,250.29363023707606,1.5109457969665527
195.0,-6.231038684341684,54.17417101972805,10.605117053085218,0.9543423985463462,250.29363023707606,1.510521411895752
197.0,-6.231038684341684,49.917762071700054,10.542971141543521,0.954875937134837,250.29363023707606,1.458214282989502
198.0,-6.231038684341684,61.479309911606435,12.226226703696625,0.9393169991754893,250.29363023707606,1.5347611904144287
201.0,-6.231038684341684,57.74651812952911,11.329297207049878,0.9478939562134079,250.29363023707606,1.5123372077941895
205.0,-6.231038684341684,55.42713436014171,9.99462901913088,0.9594476975531128,250.29363023707606,1.5818254947662354
206.0,-6.231038684341684,60.56371645414299,10.361373181896601,0.9564170330700804,250.29363023707606,1.5914311408996582
207.0,-6.231038684341684,59.06102919545316,10.315703181840785,0.9568003891044989,250.29363023707606,1.555710792541504
214.0,-6.231038684341684,58.5373758511123,10.44709391101257,0.9556929171355308,250.29363023707606,1.5789823532104492
222.0,-6.231038684341684,57.902180692314886,10.578994264956652,0.9545670513991859,250.29363023707606,1.557823896408081
226.0,-6.231038684341684,58.96785147971383,11.088189710211976,0.9500881743442284,250.29363023707606,1.5708045959472656
227.0,-6.231038684341684,51.85593188910548,9.593053724021564,0.9626409423154629,250.29363023707606,1.5517921447753906
232.0,-6.231038684341684,47.521529221980416,10.15626788396758,0.9581254208905604,250.29363023707606,1.5752143859863281
240.0,-6.231038684341684,48.56352450223335,9.669040094758685,0.962046757764036,250.29363023707606,1.5589616298675537
243.0,-6.231038684341684,45.14923555061387,10.676104409129604,0.9537291172607942,250.29363023707606,1.5829312801361084
244.0,-6.231038684341684,41.913981504196045,11.842565631612288,0.9430657294708652,250.29363023707606,1.568033218383789
249.0,-6.231038684341684,47.74673894138485,10.649829153060264,0.9539565940916603,250.29363023707606,1.5720489025115967
252.0,-6.231038684341684,55.278532799710945,10.480902999095763,0.955405678219259,250.29363023707606,1.5970916748046875
253.0,-6.231038684341684,52.2842845556913,10.835814252043265,0.9523343781169388,250.29363023707606,1.618952989578247
255.0,-6.231038684341684,47.11927174343532,10.588450411076757,0.9544857936538209,250.29363023707606,1.6022734642028809
259.0,-6.231038684341684,49.68428965472381,10.820727636892,0.952467014625667,250.29363023707606,1.6410608291625977
