cost,SR,IR,rmse,r2,max_value,operation_time
50.0,300.9907321757994,299.8142346352263,69.88669159206543,0.6720074645675218,308.27385522654436,0.0
56.0,300.9907321757994,424.18063789754297,97.47980991616659,0.3618770797024844,308.27385522654436,1.3033113479614258
57.0,229.9114404385839,-133363.24138962186,35016.06122665805,-82338.75732590206,379.35314696375985,1.261418342590332
64.0,229.9114404385839,-20.776085014689443,287.27592430258306,-4.542088518068063,379.35314696375985,1.2654941082000732
66.0,229.9114404385839,-39517.82448842468,17898.180678552017,-21511.59357874074,379.35314696375985,1.2595915794372559
67.0,101.8406486698621,-134990.0582387764,46794.084093105055,-147046.24733925305,507.42393873248164,1.3050498962402344
68.0,101.8406486698621,-298723.5196281117,119203.12848223886,-954222.9307583431,507.42393873248164,1.304659366607666
69.0,101.8406486698621,-312710.9451395702,158144.30977939774,-1679507.2323236915,507.42393873248164,1.2729623317718506
70.0,101.8406486698621,-189070.90903968635,83217.76245125683,-465056.9420387263,507.42393873248164,1.2944135665893555
74.0,101.8406486698621,-29425.152632295143,10329.586939979037,-7164.40771988402,507.42393873248164,1.3212406635284424
77.0,101.8406486698621,-21111.709157665868,8323.357045571955,-4651.346431675079,507.42393873248164,1.3085002899169922
78.0,-98.09957721335672,-50196.69059803824,12498.869259054978,-10489.989376906025,707.3641646157005,1.3455350399017334
80.0,-98.09957721335672,-7602.052934913772,2346.272671498915,-368.6851120337028,707.3641646157005,1.3294095993041992
81.0,-98.09957721335672,-7726.274117538576,2026.3988671421669,-274.75593266945583,707.3641646157005,1.339012622833252
87.0,-98.09957721335672,190.42345530849263,85.41048426410234,0.5101113639476895,707.3641646157005,1.331617832183838
88.0,-98.09957721335672,-12202.5548569191,3696.7459315968044,-916.7284683254987,707.3641646157005,1.3511145114898682
