cost,SR,IR,rmse,r2,max_value,operation_time
50.0,394.7375403573709,379.41482698648497,115.46857665123679,0.10462979876324119,214.52704704497285,0.0
51.0,394.7375403573709,483.98650467533747,151.3466674736188,-0.5382280866464679,214.52704704497285,2.032536745071411
52.0,270.63393109898135,229.55966453309964,257.4354128147572,-3.4505285172199223,338.6306563033624,1.938044548034668
53.0,270.63393109898135,407.42728598573035,264.44708376535215,-3.6962647918030855,338.6306563033624,1.9178128242492676
54.0,270.63393109898135,526.2109848406438,280.5625504534193,-4.286088299973602,338.6306563033624,2.3031461238861084
55.0,230.10887841595053,316.1193546205425,110.0824254602265,0.18621254355299433,379.1557089863932,2.242867946624756
56.0,230.10887841595053,437.6152959095547,235.7240912572171,-2.7314957561737754,379.1557089863932,2.174224615097046
57.0,215.78915112610622,137.04979859160426,378.13589705219596,-8.602201756737385,393.47543627623753,2.248410701751709
58.0,-101.0738936183169,363.2802264227894,117.25028194491355,0.07678510407835282,710.3384810206607,2.2436723709106445
59.0,-101.0738936183169,352.6741474097709,126.69938703489365,-0.07801310218926072,710.3384810206607,2.3367791175842285
60.0,-101.0738936183169,378.9500710670234,174.0922465859019,-1.0353254875528757,710.3384810206607,2.1801416873931885
61.0,-101.0738936183169,107.69110076618335,289.52533381402213,-4.6292191153245215,710.3384810206607,2.322295904159546
62.0,-101.0738936183169,-680.5978792426042,549.2747849319918,-19.260694921067408,710.3384810206607,2.46789288520813
63.0,-101.0738936183169,467.2627526296803,222.1057656788688,-2.3127958766929675,710.3384810206607,2.275137186050415
65.0,-101.0738936183169,-62.55477424803439,124.66767615893309,-0.04371695863798619,710.3384810206607,2.219400644302368
66.0,-101.0738936183169,-6910.232704478097,863.9641396612536,-49.12639189092676,710.3384810206607,2.4099490642547607
67.0,-101.0738936183169,-4164.1915513201675,2640.442261698132,-467.1967149801988,710.3384810206607,2.2478935718536377
69.0,-101.0738936183169,131.5262605081429,267.2597521789076,-3.796695330378851,710.3384810206607,2.2856433391571045
70.0,-101.0738936183169,-6367.5059658031505,769.9957784482622,-38.81545654861239,710.3384810206607,2.29374623298645
71.0,-101.0738936183169,-916.4618734700505,661.7126554569443,-28.4045063794207,710.3384810206607,2.346931219100952
73.0,-101.0738936183169,-7255.009889690588,4538.954469499743,-1382.5238952906943,710.3384810206607,2.3055777549743652
74.0,-101.0738936183169,9.53818266983285,517.724640752143,-17.000007355184238,710.3384810206607,2.320301055908203
75.0,-101.0738936183169,-219.90917565083873,373.04747095195415,-8.345514418247802,710.3384810206607,2.3447656631469727
76.0,-101.0738936183169,-791.9165979475381,344.35420566773,-6.963166468712874,710.3384810206607,2.3483917713165283
77.0,-101.0738936183169,82.80038784292674,222.61717145820106,-2.3280690813997382,710.3384810206607,2.3933956623077393
85.0,-101.0738936183169,-301.2682578367892,369.585201402783,-8.172847181035849,710.3384810206607,2.328458309173584
86.0,-101.0738936183169,325.5254634110147,1207.693056265255,-96.94632604574882,710.3384810206607,2.5304768085479736
87.0,-101.0738936183169,446.8375465892643,1048.4716437554753,-72.82243912564887,710.3384810206607,2.5275816917419434
88.0,-101.0738936183169,56.68034107853589,3286.365872326981,-724.2818936600011,710.3384810206607,2.4666757583618164
89.0,-101.0738936183169,-31.659264237420302,1079.263294934805,-77.22216395085414,710.3384810206607,2.4653403759002686
90.0,-101.0738936183169,388.30618711232694,2130.3016500734284,-303.75947674282077,710.3384810206607,2.6097426414489746
91.0,-101.0738936183169,-1808.6850375658064,460.4679604219971,-13.238814955229687,710.3384810206607,2.570524215698242
92.0,-101.0738936183169,423.8891982923052,1899.3970903357424,-241.27385428895664,710.3384810206607,2.623936176300049
93.0,-101.0738936183169,-3895.7826571274136,1075.9474571316953,-76.7422559004098,710.3384810206607,2.696385383605957
94.0,-101.0738936183169,-40331.94060874738,8236.203510642954,-4554.427614158085,710.3384810206607,2.713282823562622
95.0,-101.0738936183169,-122.44039192383946,570.4104922019451,-20.849928617124394,710.3384810206607,2.624096393585205
96.0,-101.0738936183169,-270.2775399084926,3116.404611352752,-651.2028440956949,710.3384810206607,2.755695104598999
97.0,-101.0738936183169,-8018.527026418769,1406.5088594421986,-131.84950968702768,710.3384810206607,2.868206262588501
98.0,-101.0738936183169,-16301.620932600807,2191.2801384198124,-321.4562628756866,710.3384810206607,2.7712342739105225
99.0,-101.0738936183169,159.54392405116107,5641.160002576011,-2136.036046358636,710.3384810206607,2.787769079208374
100.0,-101.0738936183169,-297693.86965438875,107822.8461551499,-780721.3186354359,710.3384810206607,2.8992722034454346
101.0,-101.0738936183169,399.3525679292187,86.6390084686522,0.49591710764906327,710.3384810206607,2.8338122367858887
102.0,-101.0738936183169,409.18431298161124,127.44617034602422,-0.09075846310281399,710.3384810206607,2.8418126106262207
103.0,-101.0738936183169,-107906.8890446976,14524.739967247982,-14166.451802512034,710.3384810206607,2.801908016204834
104.0,-101.0738936183169,-2983.0136839948655,64340.511618555785,-277998.51078681776,710.3384810206607,3.0093271732330322
105.0,-101.0738936183169,-422987.59727793926,95002.13027752262,-606095.3927870281,710.3384810206607,2.7943499088287354
106.0,-101.0738936183169,698.1439690069342,6766.074461224887,-3073.316369828724,710.3384810206607,2.779681444168091
107.0,-101.0738936183169,-151.8584081785716,1948.176036481023,-253.87744547313628,710.3384810206607,2.6584091186523438
108.0,-101.0738936183169,-1071016.6074059904,446832.9170229884,-13408040.0109926,710.3384810206607,2.7666754722595215
109.0,-101.0738936183169,-67677.87571977799,18930.499424569527,-24064.736380446655,710.3384810206607,2.598694086074829
110.0,-101.0738936183169,-162491.46125060943,69950.53245873869,-328591.05695395835,710.3384810206607,2.551224708557129
111.0,-101.0738936183169,-128941.15836819587,17550.10683350977,-20683.000554135568,710.3384810206607,2.5636162757873535
112.0,-101.0738936183169,-215425.12250305736,98243.13565728685,-648154.8464579006,710.3384810206607,2.5273871421813965
113.0,-101.0738936183169,139.84857514197182,33490.99799908796,-75322.62113673327,710.3384810206607,2.3947482109069824
120.0,-101.0738936183169,314.9557358853281,128.69544940076224,-0.11224738472936746,710.3384810206607,2.4505345821380615
121.0,-101.0738936183169,-30187.1625233305,5857.7029556475945,-2303.250558064826,710.3384810206607,2.522268056869507
122.0,-101.0738936183169,-379391.4057317198,51125.642954658106,-175529.49484414127,710.3384810206607,2.428929328918457
123.0,-101.0738936183169,-413699.1877902537,139663.0436434248,-1309898.6204032558,710.3384810206607,2.407576084136963
124.0,-101.0738936183169,-18622.928056987814,4945.058750664667,-1641.1692782371686,710.3384810206607,2.4540295600891113
125.0,-101.0738936183169,-340885.42117617774,75478.24579391372,-382575.78028400266,710.3384810206607,2.533118724822998
126.0,-101.0738936183169,-113324.23915728311,12143.055226852532,-9901.18309009633,710.3384810206607,2.4909467697143555
127.0,-101.0738936183169,-49127.29264545306,8484.074166900173,-4832.747100303115,710.3384810206607,2.475663185119629
128.0,-101.0738936183169,-337590.3589805167,55309.968518811285,-205437.4994585324,710.3384810206607,2.433962106704712
129.0,-101.0738936183169,-18550.799224064547,4258.143522411086,-1216.6307369016083,710.3384810206607,2.582217216491699
137.0,-101.0738936183169,368.2833721416681,106.98674301825707,0.23133882609903111,710.3384810206607,2.5123422145843506
138.0,-101.0738936183169,-2128.094879045678,488.4290365110108,-15.020569869196965,710.3384810206607,2.5264930725097656
146.0,-101.0738936183169,278.1358276302623,147.66379433825324,-0.46427638795085224,710.3384810206607,2.5710933208465576
147.0,-101.0738936183169,-14165.949491290303,5767.176453596094,-2232.5798882314675,710.3384810206607,2.5531558990478516
148.0,-109.0719164058587,-6213.715228723438,1608.9029761288373,-172.83399927562826,718.3365038082025,2.5838499069213867
149.0,-109.0719164058587,434.88289634104353,112.02626518098,0.15721901879674793,718.3365038082025,2.7009708881378174
150.0,-109.0719164058587,-33141.578307177304,6019.09939917837,-2431.9772182375623,718.3365038082025,2.561199426651001
151.0,-109.0719164058587,-199445.22938355472,35646.56706933216,-85330.70729091263,718.3365038082025,2.5920283794403076
152.0,-109.0719164058587,-303.08152636770717,254.76732459964563,-3.358755060200431,718.3365038082025,2.643458604812622
154.0,-109.0719164058587,-950.3984571697101,486.8300909021815,-14.915850088050897,718.3365038082025,2.671668529510498
155.0,-109.0719164058587,-135955.91926407802,28409.450603706293,-54199.17416818923,718.3365038082025,2.7113773822784424
156.0,-109.0719164058587,-107960.15838496125,22536.2929197126,-34105.72106241771,718.3365038082025,2.7077698707580566
158.0,-109.0719164058587,-123571.31541814786,54153.061786108425,-196933.15530451405,718.3365038082025,2.862294912338257
159.0,-109.0719164058587,-54460.85108772957,22843.46048562067,-35041.80005630444,718.3365038082025,2.8058712482452393
160.0,-109.0719164058587,-8825.524346208183,1173.6746694537285,-91.50612198631933,718.3365038082025,2.8459012508392334
162.0,-109.0719164058587,367.69340050928014,123.84171539665631,-0.02993289612093042,718.3365038082025,2.8623249530792236
163.0,-109.0719164058587,114.1607223582368,115.62538368074489,0.1021963111790073,718.3365038082025,2.9878673553466797
171.0,-109.0719164058587,434.255794520823,134.17734708007242,-0.20901980036608125,718.3365038082025,3.0241005420684814
172.0,-109.0719164058587,-14218.896192437041,1540.5604047752897,-158.3795053906675,718.3365038082025,2.9682652950286865
173.0,-109.0719164058587,-93130.59769218168,43745.440584609445,-128510.08832850974,718.3365038082025,3.1524367332458496
174.0,-109.0719164058587,-51135.22772356574,13737.109712362608,-12671.600535151736,718.3365038082025,3.1633594036102295
177.0,-109.0719164058587,514.6351943044242,5271.550405877724,-1865.1722999405342,718.3365038082025,3.1735353469848633
178.0,-109.0719164058587,-389429.7692806344,202867.78119788118,-2763764.3664557273,718.3365038082025,3.27742338180542
179.0,-109.0719164058587,-16353.32883254518,2500.089574130053,-418.7455975054266,718.3365038082025,3.213928699493408
180.0,-109.0719164058587,-31700.776655397254,3214.512020766283,-692.9131537833044,718.3365038082025,3.188444137573242
181.0,-109.0719164058587,-1518.3894908061807,292.19132602098745,-4.73336578550654,718.3365038082025,3.2593233585357666
182.0,-109.0719164058587,-186323.04745600416,38708.91531651935,-100621.94303685137,718.3365038082025,3.2369911670684814
183.0,-109.0719164058587,-19950.332017600467,2633.023356715854,-464.5694072751325,718.3365038082025,3.2648608684539795
184.0,-109.0719164058587,-149780.67064358154,33284.2509367894,-74395.5141055959,718.3365038082025,3.297170877456665
192.0,-109.0719164058587,66.85604055909164,134.17371594465737,-0.2089543637583824,718.3365038082025,3.2898991107940674
193.0,-109.0719164058587,-305564.6739749984,57749.93022157717,-223962.85763935858,718.3365038082025,3.2730722427368164
201.0,-109.0719164058587,129.22594815025377,192.38073678828997,-1.4854107880497787,718.3365038082025,3.0784811973571777
202.0,-109.0719164058587,-16178.318503002698,7983.013896554241,-4278.655217286142,718.3365038082025,3.210111618041992
